path,license,author,url
client/textures/illarion/items/trowel.png,CC0,Glitch,https://opengameart.org/content/100-glitch-icons
client/textures/illarion/items/unknownItem.png,CC0,twiswist,https://opengameart.org/content/inventory-filter-icons
client/textures/illarion/items/wax.png,CC0,bluecarrot16,https://opengameart.org/node/98209
client/textures/illarion/items/wheat.png,CC0,Idylwild,https://opengameart.org/content/idylwilds-inventory
client/textures/illarion/items/wind_arrow.png,CC0,BlayTheNinth; Dungeon Crawl Stone Soup,https://seleneworlds.com; https://opengameart.org/content/cc0-ranged-icons
client/textures/illarion/items/wood_nails.png,CC0,BlayTheNinth; Glitch,https://seleneworlds.com; https://opengameart.org/content/100-glitch-icons
client/textures/illarion/items/wood_plane.png,CC0,BlayTheNinth; bluecarrot16,https://seleneworlds.com; https://opengameart.org/node/98209
client/textures/illarion/items/wool.png,CC0,BlayTheNinth; Melissa Krautheim,https://seleneworlds.com; https://opengameart.org/content/resource-pack-1
client/textures/illarion/tiles/*,see tiles/,see tiles/,see tiles/
client/textures/illarion/tiles/invisible.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/tiles/unknownTile.png,CC0,twiswist,https://opengameart.org/content/inventory-filter-icons
client/textures/illarion/ui/_default_.png,CC0,twiswist,https://opengameart.org/content/inventory-filter-icons
client/textures/illarion/ui/clock_dragon.png,CC0,BlayTheNinth; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-painted-plaster-002
client/textures/illarion/ui/clock_temp.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/clock_time.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/cursor_combat.png,CC0,HomoHikka,https://opengameart.org/node/115091
client/textures/illarion/ui/cursor_magic.png,CC0,7Soul1,https://www.deviantart.com/7soul1/art/129892453
client/textures/illarion/ui/cursor_standard.png,CC0,itsmars,https://opengameart.org/content/gauntlet-cursor
client/textures/illarion/ui/cursor_use-0.png,CC0,yd,https://opengameart.org/node/12516
client/textures/illarion/ui/cursor_use-1.png,CC0,yd,https://opengameart.org/node/12516
client/textures/illarion/ui/fog_overlay.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/gui_bottom.png,CC0,BlayTheNinth; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-bricks-084; https://cc0-textures.com/t/cc0t-painted-plaster-002
client/textures/illarion/ui/gui_bottom_low.png,CC0,BlayTheNinth; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-bricks-084; https://cc0-textures.com/t/cc0t-painted-plaster-002
client/textures/illarion/ui/gui_counter.png,CC0,BlayTheNinth; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-painted-plaster-002
client/textures/illarion/ui/gui_status.png,CC0,BlayTheNinth; Mumu; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-painted-plaster-002; https://opengameart.org/content/health-or-mana-ui-bars
client/textures/illarion/ui/gui_top.png,CC0,BlayTheNinth; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-bricks-084
client/textures/illarion/ui/gui_top_low.png,CC0,BlayTheNinth; CC0 Textures,https://seleneworlds.com; https://cc0-textures.com/t/cc0t-bricks-084
client/textures/illarion/ui/inv_slot-*.png,CC0,BlayTheNinth,https://seleneworlds.com
client/textures/illarion/ui/magic_select.png,CC0,BlayTheNinth,https://seleneworlds.com/
client/textures/illarion/ui/mark_fight.png,CC0,BlayTheNinth,https://seleneworlds.com
